unidad_id,palabra
b4b8ad71-bb3a-4c58-9eb5-8a3cbe897a63,día
a80456cf-be82-4372-ac62-8cca179f5b16,establecer
a80456cf-be82-4372-ac62-8cca179f5b16,diciembre
04b04705-8164-4058-8340-8d50cfbb6ff0,publicado
cd169451-70a4-46f0-aeba-5064d3f5a93d,complementar
cd169451-70a4-46f0-aeba-5064d3f5a93d,modificado
cd169451-70a4-46f0-aeba-5064d3f5a93d,diciembre
cd169451-70a4-46f0-aeba-5064d3f5a93d,numeral
3fa10299-0969-4e29-9480-16b2fb9331f5,publicado
3fa10299-0969-4e29-9480-16b2fb9331f5,modificado
b96e58e6-dc7d-47b4-9203-76eb82e76ff3,octubre
b96e58e6-dc7d-47b4-9203-76eb82e76ff3,modificado
b96e58e6-dc7d-47b4-9203-76eb82e76ff3,modificar
b96e58e6-dc7d-47b4-9203-76eb82e76ff3,numeral
d716f419-b1d1-43aa-9847-6b90105bc477,publicado
d716f419-b1d1-43aa-9847-6b90105bc477,modificado
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,artículo
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,abril
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,numeral
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,literal
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,modificar
b7e71b1d-bf82-426a-8037-8786572668a2,publicado
b7e71b1d-bf82-426a-8037-8786572668a2,modificado
b2c6a4f0-a131-449d-b3be-3bb7b7fa30a0,modificar
b2c6a4f0-a131-449d-b3be-3bb7b7fa30a0,diciembre
b2c6a4f0-a131-449d-b3be-3bb7b7fa30a0,numeral
7660e679-9703-44aa-a6f9-940c905fa466,publicado
7660e679-9703-44aa-a6f9-940c905fa466,modificado
598956a1-17ed-438b-9fb5-c1009df97be0,junio
598956a1-17ed-438b-9fb5-c1009df97be0,complementar
598956a1-17ed-438b-9fb5-c1009df97be0,único
598956a1-17ed-438b-9fb5-c1009df97be0,modificar
0cf4db3b-cd27-4568-821b-31e5692b7645,publicado
0cf4db3b-cd27-4568-821b-31e5692b7645,modificado
9aaa41a0-52ed-4214-b830-e1ea39b43628,especificación
9aaa41a0-52ed-4214-b830-e1ea39b43628,definido
9aaa41a0-52ed-4214-b830-e1ea39b43628,julio
9aaa41a0-52ed-4214-b830-e1ea39b43628,natural
9aaa41a0-52ed-4214-b830-e1ea39b43628,gas
9aaa41a0-52ed-4214-b830-e1ea39b43628,calidad
9aaa41a0-52ed-4214-b830-e1ea39b43628,complementar
9aaa41a0-52ed-4214-b830-e1ea39b43628,inyectado
1bb9cfac-eed5-4b9c-8ddc-7df870f1842d,publicado
1bb9cfac-eed5-4b9c-8ddc-7df870f1842d,modificado
0fdd7854-9a88-4859-a9e1-fb0046c0e605,marzo
0fdd7854-9a88-4859-a9e1-fb0046c0e605,modificar
0fdd7854-9a88-4859-a9e1-fb0046c0e605,numeral
49a66bc3-4046-46c3-88a8-2fef3151c83d,publicado
741aa80c-520d-4f36-a9d6-35ba98fec93c,actividad
741aa80c-520d-4f36-a9d6-35ba98fec93c,fórmula
741aa80c-520d-4f36-a9d6-35ba98fec93c,remunerar
741aa80c-520d-4f36-a9d6-35ba98fec93c,general
741aa80c-520d-4f36-a9d6-35ba98fec93c,distribución
741aa80c-520d-4f36-a9d6-35ba98fec93c,prestación
741aa80c-520d-4f36-a9d6-35ba98fec93c,tubería
741aa80c-520d-4f36-a9d6-35ba98fec93c,combustible
741aa80c-520d-4f36-a9d6-35ba98fec93c,comercialización
741aa80c-520d-4f36-a9d6-35ba98fec93c,gas
741aa80c-520d-4f36-a9d6-35ba98fec93c,domiciliario
741aa80c-520d-4f36-a9d6-35ba98fec93c,servicio
741aa80c-520d-4f36-a9d6-35ba98fec93c,público
741aa80c-520d-4f36-a9d6-35ba98fec93c,criterio
741aa80c-520d-4f36-a9d6-35ba98fec93c,marzo
741aa80c-520d-4f36-a9d6-35ba98fec93c,establecer
741aa80c-520d-4f36-a9d6-35ba98fec93c,red
e0ffd610-86b5-4582-a79c-6dfedd279bab,agosto
e0ffd610-86b5-4582-a79c-6dfedd279bab,publicado
e0ffd610-86b5-4582-a79c-6dfedd279bab,modificado
e0ffd610-86b5-4582-a79c-6dfedd279bab,blecido
e0ffd610-86b5-4582-a79c-6dfedd279bab,amplir
e0ffd610-86b5-4582-a79c-6dfedd279bab,plazo
54060a17-b6ae-42b1-bc90-32b2f210550d,publicado
54060a17-b6ae-42b1-bc90-32b2f210550d,modificado
24f0835c-ac90-4cb9-9af9-12b226f583c1,establecido
24f0835c-ac90-4cb9-9af9-12b226f583c1,marzo
24f0835c-ac90-4cb9-9af9-12b226f583c1,fijar
24f0835c-ac90-4cb9-9af9-12b226f583c1,plazo
24f0835c-ac90-4cb9-9af9-12b226f583c1,ampliar
733d7e08-7c9d-4c5f-bc18-6057858224d5,incluir
733d7e08-7c9d-4c5f-bc18-6057858224d5,nuevo
733d7e08-7c9d-4c5f-bc18-6057858224d5,modificado
733d7e08-7c9d-4c5f-bc18-6057858224d5,definición
8e352f35-f7bf-430b-8870-849876ada7aa,01403
8e352f35-f7bf-430b-8870-849876ada7aa,modificado
f5f0944b-73c9-4a0f-a5e9-88f2934ee479,mismo
c7bf5a36-e956-4e4b-9c5d-ae9c22b5e8f6,adicionado
e3b87937-4975-4a38-9ce6-970a424701e2,construcción
e3b87937-4975-4a38-9ce6-970a424701e2,regir
e3b87937-4975-4a38-9ce6-970a424701e2,domiciliario
e3b87937-4975-4a38-9ce6-970a424701e2,liberación
e3b87937-4975-4a38-9ce6-970a424701e2,necesario
e3b87937-4975-4a38-9ce6-970a424701e2,prestar
e3b87937-4975-4a38-9ce6-970a424701e2,prestación
e3b87937-4975-4a38-9ce6-970a424701e2,reglamento
e3b87937-4975-4a38-9ce6-970a424701e2,regulación
e3b87937-4975-4a38-9ce6-970a424701e2,servicio
e3b87937-4975-4a38-9ce6-970a424701e2,mina
e3b87937-4975-4a38-9ce6-970a424701e2,suprimir
e3b87937-4975-4a38-9ce6-970a424701e2,conferida
e3b87937-4975-4a38-9ce6-970a424701e2,promover
e3b87937-4975-4a38-9ce6-970a424701e2,resolver
e3b87937-4975-4a38-9ce6-970a424701e2,distribución
e3b87937-4975-4a38-9ce6-970a424701e2,decir
e3b87937-4975-4a38-9ce6-970a424701e2,dominante
e3b87937-4975-4a38-9ce6-970a424701e2,asesoría
e3b87937-4975-4a38-9ce6-970a424701e2,regulado
e3b87937-4975-4a38-9ce6-970a424701e2,complementario
e3b87937-4975-4a38-9ce6-970a424701e2,adopción
e3b87937-4975-4a38-9ce6-970a424701e2,consumo
e3b87937-4975-4a38-9ce6-970a424701e2,asegurar
e3b87937-4975-4a38-9ce6-970a424701e2,establecer
e3b87937-4975-4a38-9ce6-970a424701e2,monopolio
e3b87937-4975-4a38-9ce6-970a424701e2,infraestructura
e3b87937-4975-4a38-9ce6-970a424701e2,energía
e3b87937-4975-4a38-9ce6-970a424701e2,condición
e3b87937-4975-4a38-9ce6-970a424701e2,procedimiento
e3b87937-4975-4a38-9ce6-970a424701e2,proponer
e3b87937-4975-4a38-9ce6-970a424701e2,sanitario
e3b87937-4975-4a38-9ce6-970a424701e2,gradual
e3b87937-4975-4a38-9ce6-970a424701e2,tiempo
e3b87937-4975-4a38-9ce6-970a424701e2,pertinente
e3b87937-4975-4a38-9ce6-970a424701e2,atribución
e3b87937-4975-4a38-9ce6-970a424701e2,posible
e3b87937-4975-4a38-9ce6-970a424701e2,posición
e3b87937-4975-4a38-9ce6-970a424701e2,dispuesto
e3b87937-4975-4a38-9ce6-970a424701e2,legal
e3b87937-4975-4a38-9ce6-970a424701e2,base
e3b87937-4975-4a38-9ce6-970a424701e2,fijar
e3b87937-4975-4a38-9ce6-970a424701e2,libre
e3b87937-4975-4a38-9ce6-970a424701e2,especial
e3b87937-4975-4a38-9ce6-970a424701e2,sujetar él
e3b87937-4975-4a38-9ce6-970a424701e2,natural
e3b87937-4975-4a38-9ce6-970a424701e2,hecho
e3b87937-4975-4a38-9ce6-970a424701e2,indebido
e3b87937-4975-4a38-9ce6-970a424701e2,público
e3b87937-4975-4a38-9ce6-970a424701e2,abuso
e3b87937-4975-4a38-9ce6-970a424701e2,disponibilidad
e3b87937-4975-4a38-9ce6-970a424701e2,impedir
e3b87937-4975-4a38-9ce6-970a424701e2,requisito
e3b87937-4975-4a38-9ce6-970a424701e2,competidor
e3b87937-4975-4a38-9ce6-970a424701e2,acuerdo
e3b87937-4975-4a38-9ce6-970a424701e2,creado
e3b87937-4975-4a38-9ce6-970a424701e2,ejercicio
e3b87937-4975-4a38-9ce6-970a424701e2,produzcan
e3b87937-4975-4a38-9ce6-970a424701e2,seńalamiento
e3b87937-4975-4a38-9ce6-970a424701e2,disponer
e3b87937-4975-4a38-9ce6-970a424701e2,aludir
e3b87937-4975-4a38-9ce6-970a424701e2,función
e3b87937-4975-4a38-9ce6-970a424701e2,desarrollar
e3b87937-4975-4a38-9ce6-970a424701e2,oferta
e3b87937-4975-4a38-9ce6-970a424701e2,mercado
e3b87937-4975-4a38-9ce6-970a424701e2,reunión
e3b87937-4975-4a38-9ce6-970a424701e2,1175
e3b87937-4975-4a38-9ce6-970a424701e2,determinar
e3b87937-4975-4a38-9ce6-970a424701e2,monopolista
e3b87937-4975-4a38-9ce6-970a424701e2,transporte
e3b87937-4975-4a38-9ce6-970a424701e2,municipal
e3b87937-4975-4a38-9ce6-970a424701e2,competencia
e3b87937-4975-4a38-9ce6-970a424701e2,red
e3b87937-4975-4a38-9ce6-970a424701e2,utilizar él
e3b87937-4975-4a38-9ce6-970a424701e2,operativo
e3b87937-4975-4a38-9ce6-970a424701e2,reestructurar
e3b87937-4975-4a38-9ce6-970a424701e2,forma
e3b87937-4975-4a38-9ce6-970a424701e2,unidad
e3b87937-4975-4a38-9ce6-970a424701e2,contrato
e3b87937-4975-4a38-9ce6-970a424701e2,1996
e3b87937-4975-4a38-9ce6-970a424701e2,operación
e3b87937-4975-4a38-9ce6-970a424701e2,regla
e3b87937-4975-4a38-9ce6-970a424701e2,técnico
e3b87937-4975-4a38-9ce6-970a424701e2,equipo
e3b87937-4975-4a38-9ce6-970a424701e2,través
e3b87937-4975-4a38-9ce6-970a424701e2,medida
e3b87937-4975-4a38-9ce6-970a424701e2,ceńir él
e3b87937-4975-4a38-9ce6-970a424701e2,calidad
e3b87937-4975-4a38-9ce6-970a424701e2,2253
e3b87937-4975-4a38-9ce6-970a424701e2,eficiente
e3b87937-4975-4a38-9ce6-970a424701e2,comisión
e3b87937-4975-4a38-9ce6-970a424701e2,bien
e3b87937-4975-4a38-9ce6-970a424701e2,norma
e3b87937-4975-4a38-9ce6-970a424701e2,establecido
e3b87937-4975-4a38-9ce6-970a424701e2,vía
e3b87937-4975-4a38-9ce6-970a424701e2,gas
e3b87937-4975-4a38-9ce6-970a424701e2,restricción
e3b87937-4975-4a38-9ce6-970a424701e2,general
e3b87937-4975-4a38-9ce6-970a424701e2,regular
e3b87937-4975-4a38-9ce6-970a424701e2,combustible
e3b87937-4975-4a38-9ce6-970a424701e2,garantizar
e3b87937-4975-4a38-9ce6-970a424701e2,seńalar
e3b87937-4975-4a38-9ce6-970a424701e2,respectivo
e3b87937-4975-4a38-9ce6-970a424701e2,actividad
e3b87937-4975-4a38-9ce6-970a424701e2,energético
e3b87937-4975-4a38-9ce6-970a424701e2,propiciar
e3b87937-4975-4a38-9ce6-970a424701e2,obra
e3b87937-4975-4a38-9ce6-970a424701e2,utilizar
e3b87937-4975-4a38-9ce6-970a424701e2,cumplir
e3b87937-4975-4a38-9ce6-970a424701e2,implicar
e3b87937-4975-4a38-9ce6-970a424701e2,buscar
e3b87937-4975-4a38-9ce6-970a424701e2,definir
e3b87937-4975-4a38-9ce6-970a424701e2,sector
e3b87937-4975-4a38-9ce6-970a424701e2,caso
e3b87937-4975-4a38-9ce6-970a424701e2,derogar
e3b87937-4975-4a38-9ce6-970a424701e2,único
e3b87937-4975-4a38-9ce6-970a424701e2,corresponder
a2d45772-7752-4fa9-976a-ccb089eecdbf,solicitar él
