ID,Header,Requirement,Active Subject,Action,When,Value
1,SUMMARY:,"The amendments in this final rule address integrity management requirements and other requirements, and they focus on the actions an operator must take to reconfirm the maximum allowable operating pressure of previously untested natural gas transmission pipelines and pipelines lacking certain material or operational records, the periodic assessment of pipelines in populated areas not designated as “high consequence areas,” the reporting of exceedances of maximum allowable operating pressure, the consideration of seismicity as a risk factor in integrity management, safety features on in-line inspection launchers and receivers, a 6-month grace period for 7-calendar-year integrity management reassessment intervals, and related recordkeeping provisions.",an operator,,always,"['6', '7']"
2,A. Purpose of the Regulatory Action,PHMSA believes that the current regulatory requirements applicable to gas pipeline systems have increased the level of safety associated with the transportation of gas.,PHMSA,believes to gas pipeline systems gas pipeline systems have that the current regulatory requirements applicable to gas pipeline systems have increased the level of safety associated with the transportation of gas the level of safety associated with the transportation of gas of safety associated with the transportation of gas safety associated with the transportation of gas with the transportation of gas the transportation of gas of gas gas,always,
3,A. Purpose of the Regulatory Action,The PG&E incident underscored the need for PHMSA to extend IM requirements and address other issues related to pipeline system integrity.,The PG&E incident,underscored the need for PHMSA to extend IM requirements and address other issues related to pipeline system integrity to for PHMSA to extend IM requirements and address other issues related to pipeline system integrity IM requirements other issues related to pipeline system integrity to pipeline system integrity pipeline system integrity,always,
4,A. Purpose of the Regulatory Action,"In response, PHMSA published an ANPRM seeking comment on whether IM and other requirements should be strengthened or expanded, and other related issues, on August 25, 2011 (76 FR 53086).",PHMSA,"should published In response response an ANPRM seeking comment on whether IM and other requirements should be strengthened or expanded comment on whether IM and other requirements should be strengthened or expanded on whether IM and other requirements should be strengthened or expanded should be other related issues , on August 25 , 2011 ( 76 FR 53086 ) August 25 , 2011 ( 76 FR 53086 )",always,"['25', '2011', '76 FR', '53086']"
5,A. Purpose of the Regulatory Action,Several of the 2011 Pipeline Safety Act's statutory requirements related directly to the topics addressed in the 2011 ANPRM and are a focus of this rulemaking.,Not found,,always,"['2011 Pipeline', '2011 ANPRM']"
6,A. Purpose of the Regulatory Action,"PHMSA is finalizing requirements that address the causes of several recent incidents, including the PG&E incident, by clarifying and enhancing existing requirements.",PHMSA,"finalizing is requirements that address the causes of several recent incidents , including the PG&E incident the causes of several recent incidents , including the PG&E incident of several recent incidents , including the PG&E incident several recent incidents , including the PG&E incident including the PG&E incident the PG&E incident by clarifying and enhancing existing requirements existing requirements",always,
7,A. Purpose of the Regulatory Action,"PHMSA anticipates completing a second rulemaking to address the topics in the NPRM regarding repair criteria in HCAs and the creation of new repair criteria for non-HCAs, requirements for inspecting pipelines following extreme events, updates to pipeline corrosion control requirements, codification of a management of change process, clarification of certain other IM requirements, and strengthening IM assessment requirements.",PHMSA,"anticipates completing a second rulemaking to address the topics in the NPRM regarding repair criteria in HCAs and the creation of new repair criteria for non - HCAs a second rulemaking to to address the topics in the NPRM regarding repair criteria in HCAs and the creation of new repair criteria for non - HCAs the topics in the NPRM in the NPRM the NPRM regarding repair criteria in HCAs and the creation of new repair criteria for non - HCAs repair criteria in HCAs and the creation of new repair criteria for non - HCAs in HCAs and the creation of new repair criteria for non - HCAs HCAs and the creation of new repair criteria for non - HCAs of new repair criteria for non - HCAs new repair criteria for non - HCAs for non - HCAs non - HCAs requirements for inspecting pipelines following extreme events , updates to pipeline corrosion control requirements , codification of a management of change process , clarification of certain other IM requirements , and strengthening IM assessment requirements for inspecting pipelines following extreme events pipelines following extreme events extreme events to pipeline corrosion control requirements , codification of a management of change process , clarification of certain other IM requirements pipeline corrosion control requirements , codification of a management of change process , clarification of certain other IM requirements of a management of change process , a management of change process , of change process change process of certain other IM requirements certain other IM requirements IM assessment requirements",always,
8,B. Summary of the Major Provisions of the Regulatory Action in Question,"This rule also requires operators of certain onshore steel gas transmission pipeline segments to reconfirm the MAOP of those segments and gather any necessary material property records they might need to do so, where the records needed to substantiate the MAOP are not traceable, verifiable, and complete.",This rule,"requires also operators of certain onshore steel gas transmission pipeline segments of certain onshore steel gas transmission pipeline segments certain onshore steel gas transmission pipeline segments to to reconfirm the MAOP of those segments and gather any necessary material property records they might need to do so , where the records needed to substantiate the MAOP the MAOP of those segments of those segments those segments any necessary material property records they might need to do so , where the records needed to substantiate the MAOP might to to do so so where to to substantiate the MAOP the MAOP traceable , verifiable , and complete",always,
9,B. Summary of the Major Provisions of the Regulatory Action in Question,"PHMSA is requiring operators to perform integrity assessments on certain pipelines outside of HCAs, whereas prior to this rule's publication, integrity assessments were only required for pipelines in HCAs.",PHMSA,"requiring is operators to to perform integrity assessments on certain pipelines outside of HCAs integrity assessments on certain pipelines certain pipelines outside of HCAs of HCAs HCAs prior to this rule 's publication to this rule 's publication this rule 's publication were only whereas prior to this rule 's publication , integrity assessments were only required for pipelines in HCAs for pipelines in HCAs pipelines in HCAs in HCAs HCAs",always,
10,B. Summary of the Major Provisions of the Regulatory Action in Question,"This rule also explicitly requires devices on in-line inspection (ILI), launcher or receiver facilities that can safely relieve pressure in the barrel before inserting or removing ILI tools, and requires the use of a device that can indicate whether the pressure has been relieved in the barrel or can otherwise prevent the barrel from being opened if the pressure is not relieved.",This rule,"can requires also explicitly devices on in - line inspection ( ILI ) , on in - line inspection ( ILI ) , in - line inspection ( ILI ) , line inspection ( ILI ) , launcher or receiver facilities that can safely relieve pressure in the barrel before inserting or removing ILI tools , and requires the use of a device that can indicate whether the pressure has been relieved in the barrel or can otherwise prevent the barrel from being opened if the pressure is not relieved can safely pressure in the barrel the barrel before inserting or removing ILI tools ILI tools the use of a device that can indicate whether the pressure has been relieved in the barrel or can otherwise prevent the barrel from being opened if the pressure is not relieved of a device that can indicate whether the pressure has been relieved in the barrel or can otherwise prevent the barrel from being opened if the pressure is not relieved a device that can indicate whether the pressure has been relieved in the barrel or can otherwise prevent the barrel from being opened if the pressure is not relieved can has been whether the pressure has been relieved in the barrel or can otherwise prevent the barrel from being opened if the pressure is not relieved in the barrel the barrel can otherwise the barrel from being opened if the pressure is not relieved being is if the pressure is not relieved",before inserting or removing ILI tools,
