unidad_id,verbo,tipo_verbo
a80456cf-be82-4372-ac62-8cca179f5b16,establecer,acl
cd169451-70a4-46f0-aeba-5064d3f5a93d,complementar,ROOT
b96e58e6-dc7d-47b4-9203-76eb82e76ff3,modificar,advcl
8d06f777-9a27-47b5-914d-b2b75dc8d6f7,modificar,acl
b2c6a4f0-a131-449d-b3be-3bb7b7fa30a0,modificar,ROOT
598956a1-17ed-438b-9fb5-c1009df97be0,modificar,advcl
598956a1-17ed-438b-9fb5-c1009df97be0,complementar,conj
9aaa41a0-52ed-4214-b830-e1ea39b43628,complementar,ROOT
0fdd7854-9a88-4859-a9e1-fb0046c0e605,modificar,acl
741aa80c-520d-4f36-a9d6-35ba98fec93c,establecer,acl
741aa80c-520d-4f36-a9d6-35ba98fec93c,remunerar,advcl
e0ffd610-86b5-4582-a79c-6dfedd279bab,amplir,advcl
24f0835c-ac90-4cb9-9af9-12b226f583c1,ampliar,acl
24f0835c-ac90-4cb9-9af9-12b226f583c1,fijar,conj
733d7e08-7c9d-4c5f-bc18-6057858224d5,incluir,acl
e3b87937-4975-4a38-9ce6-970a424701e2,establecer,advcl
e3b87937-4975-4a38-9ce6-970a424701e2,cumplir,acl
e3b87937-4975-4a38-9ce6-970a424701e2,establecer,acl
e3b87937-4975-4a38-9ce6-970a424701e2,desarrollar,acl
e3b87937-4975-4a38-9ce6-970a424701e2,regir,advcl
e3b87937-4975-4a38-9ce6-970a424701e2,aludir,acl
e3b87937-4975-4a38-9ce6-970a424701e2,seńalar,advcl
e3b87937-4975-4a38-9ce6-970a424701e2,cumplir,acl
e3b87937-4975-4a38-9ce6-970a424701e2,utilizar,acl
e3b87937-4975-4a38-9ce6-970a424701e2,resolver,advcl
e3b87937-4975-4a38-9ce6-970a424701e2,garantizar,acl
e3b87937-4975-4a38-9ce6-970a424701e2,implicar,conj
e3b87937-4975-4a38-9ce6-970a424701e2,fijar,advcl
e3b87937-4975-4a38-9ce6-970a424701e2,ceńir él,acl
e3b87937-4975-4a38-9ce6-970a424701e2,determinar,conj
